Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6109","Value Local Currency","millions","20.158281","21.377043","25.686230","32.857408","42.067986","51.590881","64.529033","66.874073","73.990056","111.025516","151.942422","163.586759","137.548728","135.203688","147.818386","112.238468","132.777784","154.368325","190.756878","187.764930","203.695030","214.692459","203.452439","252.137611","329.716999","399.291721","353.555192","363.514803","303.854885","313.876011","364.898662","382.680045","411.996279","483.142183","596.651561","767.452511","921.683879","1182.020645","1459.425453","1205.892185","1400.170000","1628.151967","1717.855734","1812.860915","1874.054493","2029.700000","2194.120914","2468.284919","2504.423380","2561.062622","2290.303741"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6110","Value US$","millions","42.332432","45.023610","58.564432","82.219510","106.571379","130.444706","163.117212","169.023311","190.965078","290.934027","403.030046","435.071169","365.821086","359.584278","393.134006","298.506564","353.132404","410.554056","507.332122","499.374814","541.742101","570.990582","541.096912","670.578772","876.906994","1061.946149","940.306443","966.794779","808.124775","834.776671","970.475165","1017.766077","1095.734785","1284.952614","1586.839258","2041.097104","2451.286912","3143.671928","3881.450673","3207.160066","3723.856383","4330.191402","4568.765250","4821.438604","4984.187481","5398.138298","5835.427963","6564.587551","6660.700479","6811.336761","6091.233354"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6183","Value Local Currency, 2015 prices","millions","91.747020","90.611955","109.926242","113.990576","113.626908","155.210690","103.563190","112.336908","123.618109","136.417178","174.678044","194.859005","235.675932","238.399131","258.322492","377.610736","384.095003","462.015254","463.953436","453.795766","507.694520","526.746372","591.181079","711.072509","747.560480","764.612827","759.543412","771.638192","796.901665","835.898350","853.881605","884.357521","924.332644","959.544402","1064.423934","1235.637700","1370.241076","1443.880082","1542.657320","1615.562842","1676.651946","1728.825505","1809.514918","1875.518771","1966.781670","2029.700000","2135.471033","2158.415006","2198.908961","2233.466596","2290.994905"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6184","Value US$, 2015 prices","millions","244.008033","240.989241","292.357027","303.166425","302.199225","412.794387","275.434016","298.768372","328.771565","362.811643","464.569266","518.242035","626.797691","634.040241","687.027905","1004.283872","1021.529265","1228.763972","1233.918713","1206.903633","1350.251384","1400.921201","1572.290105","1891.150290","1988.192766","2033.544752","2020.062266","2052.229234","2119.419323","2223.133910","2270.961715","2352.014685","2458.331499","2551.979791","2830.914718","3286.270480","3644.258181","3840.106600","4102.812022","4296.709685","4459.180708","4597.940172","4812.539676","4988.081837","5230.802313","5398.138298","5679.444237","5740.465442","5848.162129","5940.070733","6093.071555"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6103","Share of GDP US$","%","10.031298","9.895615","10.174848","10.023431","9.488567","11.012546","9.569180","7.883975","7.799006","9.964022","10.706612","10.238184","8.188447","7.856277","8.214357","6.670504","9.440959","10.802928","12.156812","11.151036","11.035399","10.985748","9.960898","11.276880","13.680068","15.646840","13.320593","13.215837","11.548149","11.009330","10.708211","11.338486","11.421627","11.602467","12.067066","12.781840","13.246792","14.466959","15.096533","13.981730","14.482235","15.047608","14.858096","14.817161","14.928221","17.384951","18.102785","18.505461","17.689213","17.703870","17.966181"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6187","Share of GDP US$, 2015 prices","%","5.173583","5.028758","5.492522","4.999470","4.594282","6.883814","3.520313","3.378719","3.579760","3.817944","4.765790","5.694982","7.446875","6.944361","7.173297","12.491570","12.558756","14.822946","13.653577","13.038788","13.942136","13.835023","14.404341","15.347913","16.484302","16.540412","15.911474","15.799880","15.556751","15.401155","14.700765","14.855398","15.023823","14.672308","15.213935","16.541434","17.229147","16.764614","16.859174","17.218496","17.126829","17.316312","17.473069","17.179814","17.264726","17.384951","17.662452","17.117604","17.143820","17.073538","18.512004"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6157","Share of GDP Local Currency","%","10.031298","9.895615","10.174848","10.023431","9.488567","11.012546","9.569180","7.883975","7.799006","9.964022","10.706612","10.238184","8.188447","7.856277","8.214357","6.670504","9.440959","10.802928","12.156812","11.151036","11.035399","10.985748","9.960898","11.276880","13.680068","15.646840","13.320593","13.215837","11.548149","11.009330","10.708211","11.338486","11.421627","11.602467","12.067066","12.781840","13.246792","14.466959","15.096533","13.981730","14.482235","15.047608","14.858096","14.817161","14.928221","17.384951","18.102785","18.505461","17.689213","17.703870","17.966181"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6186","Share of GDP Local Currency, 2015 prices","%","5.173583","5.028758","5.492522","4.999470","4.594282","6.883814","3.520313","3.378719","3.579760","3.817944","4.765790","5.694982","7.446875","6.944361","7.173297","12.491570","12.558756","14.822946","13.653577","13.038788","13.942136","13.835023","14.404341","15.347913","16.484302","16.540412","15.911474","15.799880","15.556751","15.401155","14.700765","14.855398","15.023823","14.672308","15.213935","16.541434","17.229147","16.764614","16.859174","17.218496","17.126829","17.316312","17.473069","17.179814","17.264726","17.384951","17.662452","17.117604","17.143820","17.073538","18.512004"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6155","Annual growth Local Currency","%",,"6.045962","20.158012","27.918375","28.031968","22.636917","25.078370","3.634085","10.640870","50.054645","36.853606","7.663651","-15.916955","-1.704879","9.330143","-24.070022","18.299712","16.260658","23.572552","-1.568461","8.484066","5.398968","-5.235405","23.929510","30.768669","21.101345","-11.454415","2.816989","-16.411964","3.297997","16.255671","4.872965","7.660769","17.268579","23.493990","28.626582","20.096536","28.245776","23.468694","-17.372129","16.110712","16.282449","5.509545","5.530452","3.375525","8.305282","8.100750","12.495392","1.464112","2.261568","-10.572130"
"13","048","Bahrain","22075","Value Added (Total Manufacturing)","6181","Annual growth Local Currency, 2015 prices","%",,"-1.237169","21.315386","3.697328","-0.319033","36.596772","-33.275736","8.471850","10.042292","10.353717","28.046956","11.553233","20.946903","1.155484","8.357145","46.178032","1.717183","20.286713","0.419506","-2.189373","11.877315","3.752621","12.232587","20.279984","5.131399","2.281066","-0.663004","1.592375","3.274005","4.893538","2.151369","3.569103","4.520245","3.809425","10.930139","16.085111","10.893434","5.374164","6.841097","4.725970","3.781289","3.111770","4.667297","3.647599","4.866008","3.199050","5.211166","1.074422","1.876097","1.571581","2.575741"
